link_id,article,product_anchor,current_url,current_tag,marketplace,asin,is_product_specific,is_generic,mapped_us,mapped_in,is_invalid
1,5-antique-bar-carts-2026.html,Check Price &amp; Availability on Amazon →,https://www.amazon.com/dp/B094VL5VHZ?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B094VL5VHZ,True,False,True,False,False
2,5-antique-bar-carts-2026.html,Check Price &amp; Availability on Amazon →,https://www.amazon.com/dp/B0BC8SNJYG?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0BC8SNJYG,True,False,True,False,False
3,5-antique-bar-carts-2026.html,Check Price &amp; Availability on Amazon →,https://www.amazon.com/dp/B0BZ489W7B?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0BZ489W7B,True,False,True,False,False
4,5-antique-bar-carts-2026.html,Check Price &amp; Availability on Amazon →,https://www.amazon.com/dp/B0CN8MF87T?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0CN8MF87T,True,False,True,False,False
5,5-antique-bar-carts-2026.html,Check Price &amp; Availability on Amazon →,https://www.amazon.com/dp/B0BZR9VH34?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0BZR9VH34,True,False,True,False,False
6,5-antique-bar-carts-2026.html,Check Price &amp; Availability on Amazon →,https://www.amazon.com/dp/B0FCFG2W47?linkCode=ll2&tag=elevateliv00e-20&linkId=a7fcb4d29ba66d49d7911d9cdc2fa0e0&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B0FCFG2W47,True,False,True,False,False
7,5-antique-bar-carts-2026.html,View →,https://www.amazon.com/dp/B094VL5VHZ?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B094VL5VHZ,True,False,True,False,False
8,5-antique-bar-carts-2026.html,View →,https://www.amazon.com/dp/B0BC8SNJYG?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0BC8SNJYG,True,False,True,False,False
9,5-antique-bar-carts-2026.html,View →,https://www.amazon.com/dp/B0BZ489W7B?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0BZ489W7B,True,False,True,False,False
10,5-antique-bar-carts-2026.html,View →,https://www.amazon.com/dp/B0CN8MF87T?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0CN8MF87T,True,False,True,False,False
11,5-antique-bar-carts-2026.html,View →,https://www.amazon.com/dp/B0BZR9VH34?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0BZR9VH34,True,False,True,False,False
12,5-antique-bar-carts-2026.html,View →,https://www.amazon.com/dp/B0FCFG2W47?linkCode=ll2&tag=elevateliv00e-20&linkId=a7fcb4d29ba66d49d7911d9cdc2fa0e0&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B0FCFG2W47,True,False,True,False,False
13,5-antique-bar-carts-2026.html,تسوق الآن على أمازون ←,https://www.amazon.com/dp/B094VL5VHZ?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B094VL5VHZ,True,False,True,False,False
14,5-antique-bar-carts-2026.html,View on Amazon →,https://www.amazon.com/dp/B094VL5VHZ?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B094VL5VHZ,True,False,True,False,False
15,5-antique-bar-carts-2026.html,View on Amazon →,https://www.amazon.com/dp/B0BC8SNJYG?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0BC8SNJYG,True,False,True,False,False
16,5-antique-bar-carts-2026.html,View on Amazon →,https://www.amazon.com/dp/B0BZ489W7B?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0BZ489W7B,True,False,True,False,False
17,5-antique-bar-carts-2026.html,View on Amazon →,https://www.amazon.com/dp/B0CN8MF87T?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0CN8MF87T,True,False,True,False,False
18,5-antique-bar-carts-2026.html,View on Amazon →,https://www.amazon.com/dp/B0BZR9VH34?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0BZR9VH34,True,False,True,False,False
19,5-antique-bar-carts-2026.html,View on Amazon →,https://www.amazon.com/dp/B0FCFG2W47?linkCode=ll2&tag=elevateliv00e-20&linkId=a7fcb4d29ba66d49d7911d9cdc2fa0e0&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B0FCFG2W47,True,False,True,False,False
20,5-patio-mistakes-that-make-your-space-look-cheap-fix-under-50.html,Fix with this rug →,https://www.amazon.com/SAND-MINE-Reversible-Outdoors-Backyard/dp/B091YMYV7Q?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=a740862101dcabba62ed4c7290fbd58b&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B091YMYV7Q,True,False,True,False,False
21,5-patio-mistakes-that-make-your-space-look-cheap-fix-under-50.html,Fix with these lights →,https://www.amazon.com/addlon-Waterproof-Lighting-Shatterproof-Backyard/dp/B0C68DRR9P?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=5734f006d2c469b14ab4aa462d4afd3c&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B0C68DRR9P,True,False,True,False,False
22,5-patio-mistakes-that-make-your-space-look-cheap-fix-under-50.html,Fix with these pillows →,https://www.amazon.com/Phantoscope-Farmhouse-Decorative-Tailored-Pillowcase/dp/B08JTFZLT9?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=27da2bf653a9de33ab3299dd5f677feb&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B08JTFZLT9,True,False,True,False,False
23,5-patio-mistakes-that-make-your-space-look-cheap-fix-under-50.html,Fix with these hooks →,https://www.amazon.com/dp/B07L1T8LVH?niid=nl_cl_lst_a_4_1&nrid=C6TNFSJ3VZ6RMPMRHAQK&th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=86a05e221cc8c3bb7799b4299dae8b15&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B07L1T8LVH,True,False,True,False,False
24,5-patio-mistakes-that-make-your-space-look-cheap-fix-under-50.html,Fix with these plants →,https://www.amazon.com/dp/B07VKJKFN2?niid=nl_cl_lst_a_2_2&nrid=6BMABECF7T2BNMAN4TN7&th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=77eefd340dad7b95f12909a984358bac&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B07VKJKFN2,True,False,True,False,False
25,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/B08R7FZN8L?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B08R7FZN8L,True,False,True,False,False
26,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/B0CJC2KSPC?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0CJC2KSPC,True,False,True,False,False
27,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/B0CNVRPRZS?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0CNVRPRZS,True,False,True,False,False
28,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/B093P4NQKN?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B093P4NQKN,True,False,True,False,False
29,7-dark-bookshelf-styling-ideas.html,Check Price on Amazon,https://www.amazon.com/dp/B085G47VY4?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B085G47VY4,True,False,True,False,False
30,7-dark-bookshelf-styling-ideas.html,Check Price on Amazon,https://www.amazon.com/dp/B07JGLT7FT?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B07JGLT7FT,True,False,True,False,False
31,7-dark-bookshelf-styling-ideas.html,Check Price on Amazon,https://www.amazon.com/dp/B09WCX8RKP?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B09WCX8RKP,True,False,True,False,False
32,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/B0F4KHZS6T?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0F4KHZS6T,True,False,True,False,False
33,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/1607103133?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,1607103133,True,False,True,False,False
34,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/B08R7FZN8L?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B08R7FZN8L,True,False,True,False,False
35,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/B0CJC2KSPC?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0CJC2KSPC,True,False,True,False,False
36,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/B0CNVRPRZS?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0CNVRPRZS,True,False,True,False,False
37,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/B093P4NQKN?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B093P4NQKN,True,False,True,False,False
38,7-dark-bookshelf-styling-ideas.html,MaxGear Tree — $9.99,https://www.amazon.com/dp/B085G47VY4?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B085G47VY4,True,False,True,False,False
39,7-dark-bookshelf-styling-ideas.html,HappyHapi Arch — $19.99,https://www.amazon.com/dp/B07JGLT7FT?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B07JGLT7FT,True,False,True,False,False
40,7-dark-bookshelf-styling-ideas.html,Tree of Life — $15.99,https://www.amazon.com/dp/B09WCX8RKP?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B09WCX8RKP,True,False,True,False,False
41,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/B0F4KHZS6T?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0F4KHZS6T,True,False,True,False,False
42,7-dark-bookshelf-styling-ideas.html,Check Price &amp; Availability on Amazon,https://www.amazon.com/dp/1607103133?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,1607103133,True,False,True,False,False
43,best-waterproof-outdoor-rug-patio-under-50.html,GET THE RUG NOW →,https://www.amazon.com/MontVoo-Outdoor-Waterproof-Reversible-Clearance-Geometric/dp/B09VCKQDM8?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=037ecd29ba406dd22d9188682eef729f&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B09VCKQDM8,True,False,True,False,False
44,best-waterproof-outdoor-rug-patio-under-50.html,IMAGE_OR_BUTTON,https://www.amazon.com/MontVoo-Outdoor-Waterproof-Reversible-Clearance-Geometric/dp/B09VCKQDM8?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=037ecd29ba406dd22d9188682eef729f&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B09VCKQDM8,True,False,True,False,False
45,best-waterproof-outdoor-rug-patio-under-50.html,IMAGE_OR_BUTTON,https://www.amazon.com/MontVoo-Outdoor-Waterproof-Reversible-Clearance-Geometric/dp/B09VCKQDM8?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=037ecd29ba406dd22d9188682eef729f&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B09VCKQDM8,True,False,True,False,False
46,best-waterproof-outdoor-rug-patio-under-50.html,SHOP NOW →,https://www.amazon.com/MontVoo-Outdoor-Waterproof-Reversible-Clearance-Geometric/dp/B09VCKQDM8?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=037ecd29ba406dd22d9188682eef729f&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B09VCKQDM8,True,False,True,False,False
47,best-waterproof-outdoor-rug-patio-under-50.html,IMAGE_OR_BUTTON,https://www.amazon.com/GENIMO-Outdoor-Reversible-Waterproof-Clearance/dp/B09YCTM6DR?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=f28d69b5a255a8fa424e5e27477a3af7&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B09YCTM6DR,True,False,True,False,False
48,best-waterproof-outdoor-rug-patio-under-50.html,IMAGE_OR_BUTTON,https://www.amazon.com/GENIMO-Outdoor-Reversible-Waterproof-Clearance/dp/B09YCTM6DR?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=f28d69b5a255a8fa424e5e27477a3af7&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B09YCTM6DR,True,False,True,False,False
49,best-waterproof-outdoor-rug-patio-under-50.html,SHOP NOW →,https://www.amazon.com/GENIMO-Outdoor-Reversible-Waterproof-Clearance/dp/B09YCTM6DR?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=f28d69b5a255a8fa424e5e27477a3af7&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B09YCTM6DR,True,False,True,False,False
50,best-waterproof-outdoor-rug-patio-under-50.html,IMAGE_OR_BUTTON,https://www.amazon.com/SAND-MINE-Reversible-Outdoors-Backyard/dp/B091YMYV7Q?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=a740862101dcabba62ed4c7290fbd58b&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B091YMYV7Q,True,False,True,False,False
51,best-waterproof-outdoor-rug-patio-under-50.html,SHOP NOW →,https://www.amazon.com/SAND-MINE-Reversible-Outdoors-Backyard/dp/B091YMYV7Q?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=a740862101dcabba62ed4c7290fbd58b&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B091YMYV7Q,True,False,True,False,False
52,best-waterproof-outdoor-rug-patio-under-50.html,IMAGE_OR_BUTTON,https://www.amazon.com/RUUGME-Vintage-6round-Rug-Washable/dp/B0DWFRZ5VJ?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0DWFRZ5VJ,True,False,True,False,False
53,best-waterproof-outdoor-rug-patio-under-50.html,SHOP NOW →,https://www.amazon.com/RUUGME-Vintage-6round-Rug-Washable/dp/B0DWFRZ5VJ?tag=elevateliv00e-20,elevateliv00e-20,amazon.com,B0DWFRZ5VJ,True,False,True,False,False
54,best-waterproof-outdoor-rug-patio-under-50.html,DON’T MISS THIS DEAL →,https://www.amazon.com/MontVoo-Outdoor-Waterproof-Reversible-Clearance-Geometric/dp/B09VCKQDM8?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=037ecd29ba406dd22d9188682eef729f&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B09VCKQDM8,True,False,True,False,False
55,best-waterproof-outdoor-rug-patio-under-50.html,IMAGE_OR_BUTTON,https://www.amazon.com/dp/B092VC7VK2?th=1&linkCode=ll2&tag=elevateliv00e-20&linkId=2643133ccd4faa542aafdee5e939d65e&language=en_US&ref_=as_li_ss_tl,elevateliv00e-20,amazon.com,B092VC7VK2,True,False,True,False,False
